tag	g1cfg	g2cfg	status	gemm1_us	gemm2_us	e2e_us	rel_l2	lds1	lds2
base	16x256x256_b2	16x512x128_b2	OK	1086.5	685.2	2107.81	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	250.8	210.9	812.51	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	1085.3	686.4	2092.67	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	254.7	206.8	799.73	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	1042.0	689.9	2037.59	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	250.4	208.7	800.88	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	894.6	592.7	1635.60	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	240.4	176.4	582.92	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK/err	438.9	292.9	913.22	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	220.3	155.1	555.38	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	438.0	292.8	895.82	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	220.7	152.9	552.88	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	419.5	291.6	878.64	4.5748e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	218.7	157.3	557.27	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	FAIL(rc=1)/err	421.5	292.8	882.83	-	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	219.8	158.6	563.64	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	654.1	520.7	2481.33	2.8725e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	222.2	158.5	562.50	2.8725e-03	158208	133632
base	16x256x256_b2	16x512x128_b2	OK	422.9	292.7	879.67	3.9106e-03	78848	74752
g2_m64_nb3	64x256x256_b3	64x512x128_b3	OK	221.4	156.0	556.51	2.8725e-03	158208	133632
