"Node_Id","Logical_Node_Id","Agent_Type","Cpu_Cores_Count","Simd_Count","Cpu_Core_Id_Base","Simd_Id_Base","Max_Waves_Per_Simd","Lds_Size_In_Kb","Gds_Size_In_Kb","Num_Gws","Wave_Front_Size","Num_Xcc","Cu_Count","Array_Count","Num_Shader_Banks","Simd_Arrays_Per_Engine","Cu_Per_Simd_Array","Simd_Per_Cu","Max_Slots_Scratch_Cu","Gfx_Target_Version","Vendor_Id","Device_Id","Location_Id","Domain","Drm_Render_Minor","Num_Sdma_Engines","Num_Sdma_Xgmi_Engines","Num_Sdma_Queues_Per_Engine","Num_Cp_Queues","Max_Engine_Clk_Ccompute","Max_Engine_Clk_Fcompute","Sdma_Fw_Version","Fw_Version","Capability","Cu_Per_Engine","Max_Waves_Per_Cu","Family_Id","Workgroup_Max_Size","Grid_Max_Size","Local_Mem_Size","Hive_Id","Gpu_Id","Workgroup_Max_Dim_X","Workgroup_Max_Dim_Y","Workgroup_Max_Dim_Z","Grid_Max_Dim_X","Grid_Max_Dim_Y","Grid_Max_Dim_Z","Name","Vendor_Name","Product_Name","Model_Name"
0,0,"CPU",64,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,26,0,0,0,16,0,0,0,0,0,0,0,"AMD Eng Sample: 100-000001863-02","CPU","AMD Eng Sample: 100-000001863-02",""
1,1,"CPU",64,0,64,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,"AMD Eng Sample: 100-000001863-02","CPU","AMD Eng Sample: 100-000001863-02",""
2,2,"GPU",0,1024,0,2147487744,16,320,0,64,32,8,256,32,16,2,9,4,32,120500,4098,30145,256,1,128,16,0,6,24,2000,2400,1003,248,4165444224,16,64,152,1024,4294967295,0,16,56179,1024,1024,1024,2147483647,65535,65535,"gfx1250","AMD","AMD Radeon Graphics","ip discovery"
3,3,"GPU",0,1024,0,2147487780,16,320,0,64,32,8,256,32,16,2,9,4,32,120500,4098,30145,256,2,136,16,0,6,24,2000,2400,1003,248,4165444224,16,64,152,1024,4294967295,0,16,9367,1024,1024,1024,2147483647,65535,65535,"gfx1250","AMD","AMD Radeon Graphics","ip discovery"
